,da,BEN,CO,EBE,MXY,NMHC,NO_2,NOx,OXY,O_3,PM10,PM25,PXY,SO_2,TCH,TOL,NO,CH4
83,2001-03-25,157.22999930381775,136.54999999701977,102.58999931812286,164.00999955832958,5440.000005066395,8866.249986767769,13240.930039167404,83.17999997735023,12384.090002059937,2388.329999923706,0.0,72.26000009477139,2750.369998216629,60.679999113082886,490110.00031232834,0.0,0.0
84,2001-03-26,247.38000071048737,215.3599995970726,158.7299997806549,268.44999971985817,7650.000013411045,14380.920000076294,26806.310020446777,119.84999969601631,7576.960009098053,4037.4500076770782,0.0,98.69000002741814,3650.330005645752,69.63999950885773,826309.9994659424,0.0,0.0
85,2001-03-27,242.88999927043915,220.96000000834465,185.4900004863739,253.14999812841415,7460.00000089407,13577.53000330925,27385.45993089676,115.63000050187111,7687.499981403351,5835.269996881485,0.0,99.87999975681305,4019.480007648468,65.80999946594238,915340.0010466576,0.0,0.0
86,2001-03-28,203.55000007152557,185.07999999821186,173.0,159.40000189840794,5749.999951571226,12554.270010948181,22554.38002896309,84.05000007152557,10255.389971733093,4219.280003070831,0.0,74.27000081539154,3881.9099922180176,63.75999927520752,990610.0002229214,0.0,0.0
87,2001-03-29,181.34000019729137,154.72999956458807,149.8299998641014,142.99999976158142,5099.9999940395355,10223.67000246048,16959.480013370514,75.95999985933304,11027.589999198914,4495.780007839203,0.0,63.15999987721443,3448.979990005493,62.7799996137619,693419.9977219105,0.0,0.0
88,2001-03-30,185.97000089287758,177.01999965682626,145.4099988937378,160.1599999666214,5359.999962151051,9631.20997941494,18946.970017910004,77.99999913573265,9129.219995498657,4952.969998836517,0.0,65.93999987840652,3995.5900135040283,62.829999804496765,700970.0022339821,0.0,0.0
89,2001-03-31,193.36000061035156,202.01999986171722,141.6500000357628,128.5299996137619,5480.000007897615,10835.500027418137,22213.390028715134,64.6699994802475,7656.040015697479,3732.909997701645,0.0,72.29999935626984,4396.070003032684,62.8199999332428,601950.0028789043,0.0,0.0
90,2001-04-01,184.85000014305115,168.4100001230836,149.04000017046928,143.1900007724762,6649.999978020787,12247.6299700737,18876.2799346447,64.24000012874603,10714.41001701355,3964.469996213913,0.0,62.01000055670738,3349.820001602173,66.05000007152557,443359.99839007854,0.0,0.0
91,2001-04-02,244.88000071048737,216.0199997574091,186.11999928951263,212.66999885439873,7420.000027865171,16125.400025844574,30875.529987335205,99.87999925017357,7469.760017156601,9288.579992294312,0.0,88.86000037193298,4231.059998512268,67.00999975204468,995889.9995088577,0.0,0.0
92,2001-04-03,207.27999964356422,178.08999972045422,129.06000006198883,176.5600008368492,5930.0000332295895,13707.790011405945,23682.749928951263,85.38000026345253,8384.280023097992,5309.270008683205,0.0,71.23999999463558,3394.180000305176,63.7599995136261,703679.9972057343,0.0,0.0
93,2001-04-04,235.72999960184097,187.20999990403652,166.6099995970726,229.99000000953674,6740.000039339066,12989.500008583069,24460.769988059998,108.37999922037125,8720.009995937347,6465.269984722137,0.0,94.16999900341034,3303.089997291565,65.10999941825867,783660.0003838539,0.0,0.0
94,2001-04-05,232.18999937176704,185.54999983683228,155.74999922513962,215.18000195920467,6110.000021755695,9851.760031223297,21130.349909305573,107.62999930977821,7321.49998831749,4545.110008478165,0.0,93.44000026583672,3020.2099990844727,64.10999917984009,739070.0019001961,0.0,0.0
